File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/801.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 9
Injection Number	10
Position	
Comment	$$ 2.1 vial 2:B,2 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	15:31:42
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.252554
Signal Max.	29.108578
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
1.533333	0.5	1.046274
1.541667	0.5	0.990219
1.550000	0.5	0.956821
1.558333	0.5	0.946469
1.566667	0.5	0.950962
1.575000	0.5	0.960923
1.583333	0.5	0.965805
1.591667	0.5	0.959360
1.600000	0.5	0.936704
1.608333	0.5	0.900180
1.616667	0.5	0.858579
1.625000	0.5	0.821274
1.633333	0.5	0.797055
1.641667	0.5	0.790610
1.650000	0.5	0.807016
1.658333	0.5	0.850571
1.666667	0.5	0.923032
1.675000	0.5	1.017759
1.683333	0.5	1.119126
1.691667	0.5	1.208774
1.700000	0.5	1.274204
1.708333	0.5	1.324009
1.716667	0.5	1.379477
1.725000	0.5	1.463462
1.733333	0.5	1.577134
1.741667	0.5	1.701352
1.750000	0.5	1.820298
1.758333	0.5	1.943930
1.766667	0.5	2.103305
1.775000	0.5	2.312485
1.783333	0.5	2.547055
1.791667	0.5	2.744712
1.800000	0.5	2.843930
1.808333	0.5	2.815024
1.816667	0.5	2.672251
1.825000	0.5	2.456430
1.833333	0.5	2.209555
1.841667	0.5	1.961313
1.850000	0.5	1.732016
1.858333	0.5	1.535727
1.866667	0.5	1.396665
1.875000	0.5	1.373423
1.883333	0.5	1.566196
1.891667	0.5	2.062290
1.900000	0.5	2.836313
1.908333	0.5	3.753501
1.916667	0.5	4.669517
1.925000	0.5	5.477719
1.933333	0.5	6.071079
1.941667	0.5	6.292954
1.950000	0.5	6.033188
1.958333	0.5	5.347251
1.966667	0.5	4.478696
1.975000	0.5	3.705454
1.983333	0.5	3.131626
1.991667	0.5	2.706626
2.000000	0.5	2.328891
2.008333	0.5	1.954087
2.016667	0.5	1.595102
2.025000	0.5	1.289048
2.033333	0.5	1.071665
2.041667	0.5	0.946079
2.050000	0.5	0.877524
2.058333	0.5	0.811899
2.066667	0.5	0.711313
2.075000	0.5	0.577524
2.083333	0.5	0.443345
2.091667	0.5	0.341196
2.100000	0.5	0.278501
2.108333	0.5	0.246274
2.116667	0.5	0.232407
2.125000	0.5	0.228305
2.133333	0.5	0.230844
2.141667	0.5	0.239438
2.150000	0.5	0.255063
2.158333	0.5	0.277524
2.166667	0.5	0.300571
2.175000	0.5	0.316977
2.183333	0.5	0.322446
2.191667	0.5	0.321860
2.200000	0.5	0.319516
2.208333	0.5	0.318540
2.216667	0.5	0.316977
2.225000	0.5	0.312485
2.233333	0.5	0.301743
2.241667	0.5	0.288071
2.250000	0.5	0.272641
2.258333	0.5	0.257212
2.266667	0.5	0.245688
2.275000	0.5	0.239243
2.283333	0.5	0.240220
2.291667	0.5	0.246665
2.300000	0.5	0.254868
2.308333	0.5	0.258579
2.316667	0.5	0.254477
2.325000	0.5	0.244907
2.333333	0.5	0.236118
2.341667	0.5	0.232407
2.350000	0.5	0.234751
2.358333	0.5	0.239634
2.366667	0.5	0.242563
2.375000	0.5	0.241196
2.383333	0.5	0.234946
2.391667	0.5	0.230454
2.400000	0.5	0.230259
2.408333	0.5	0.234360
2.416667	0.5	0.236313
2.425000	0.5	0.232212
2.433333	0.5	0.224009
2.441667	0.5	0.217563
2.450000	0.5	0.216391
2.458333	0.5	0.218149
2.466667	0.5	0.222446
2.475000	0.5	0.231821
2.483333	0.5	0.243930
2.491667	0.5	0.257993
2.500000	0.5	0.271860
2.508333	0.5	0.282602
2.516667	0.5	0.291782
2.525000	0.5	0.299985
2.533333	0.5	0.305259
2.541667	0.5	0.307407
2.550000	0.5	0.307602
2.558333	0.5	0.306235
2.566667	0.5	0.307212
2.575000	0.5	0.309751
2.583333	0.5	0.314829
2.591667	0.5	0.320298
2.600000	0.5	0.328501
2.608333	0.5	0.340219
2.616667	0.5	0.355844
2.625000	0.5	0.372837
2.633333	0.5	0.386118
