File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/486.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 6
Injection Number	7
Position	
Comment	$$ 2.1 vial 2:A,7 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	12:12:38
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.261689
Signal Max.	27.112921
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
1.533333	0.5	0.849443
1.541667	0.5	0.813701
1.550000	0.5	0.784795
1.558333	0.5	0.769365
1.566667	0.5	0.767022
1.575000	0.5	0.772295
1.583333	0.5	0.778350
1.591667	0.5	0.781084
1.600000	0.5	0.775420
1.608333	0.5	0.757061
1.616667	0.5	0.725811
1.625000	0.5	0.688506
1.633333	0.5	0.658037
1.641667	0.5	0.643779
1.650000	0.5	0.648076
1.658333	0.5	0.668389
1.666667	0.5	0.703545
1.675000	0.5	0.754912
1.683333	0.5	0.822100
1.691667	0.5	0.896709
1.700000	0.5	0.964873
1.708333	0.5	1.013115
1.716667	0.5	1.048272
1.725000	0.5	1.089483
1.733333	0.5	1.158232
1.741667	0.5	1.257451
1.750000	0.5	1.368193
1.758333	0.5	1.467217
1.766667	0.5	1.557842
1.775000	0.5	1.671709
1.783333	0.5	1.839483
1.791667	0.5	2.062920
1.800000	0.5	2.292022
1.808333	0.5	2.461358
1.816667	0.5	2.518389
1.825000	0.5	2.454326
1.833333	0.5	2.294365
1.841667	0.5	2.078154
1.850000	0.5	1.840654
1.858333	0.5	1.604326
1.866667	0.5	1.387529
1.875000	0.5	1.211162
1.883333	0.5	1.119365
1.891667	0.5	1.213701
1.900000	0.5	1.612139
1.908333	0.5	2.344365
1.916667	0.5	3.289678
1.925000	0.5	4.238115
1.933333	0.5	4.993975
1.941667	0.5	5.411553
1.950000	0.5	5.408233
1.958333	0.5	4.987725
1.966667	0.5	4.274834
1.975000	0.5	3.497295
1.983333	0.5	2.871514
1.991667	0.5	2.450225
2.000000	0.5	2.149443
2.008333	0.5	1.861357
2.016667	0.5	1.547490
2.025000	0.5	1.233818
2.033333	0.5	0.971514
2.041667	0.5	0.796709
2.050000	0.5	0.703545
2.058333	0.5	0.649053
2.066667	0.5	0.587529
2.075000	0.5	0.497100
2.083333	0.5	0.390850
2.091667	0.5	0.301982
2.100000	0.5	0.247490
2.108333	0.5	0.225420
2.116667	0.5	0.218193
2.125000	0.5	0.215459
2.133333	0.5	0.212529
2.141667	0.5	0.210772
2.150000	0.5	0.213311
2.158333	0.5	0.223076
2.166667	0.5	0.240068
2.175000	0.5	0.259795
2.183333	0.5	0.278936
2.191667	0.5	0.292217
2.200000	0.5	0.296514
2.208333	0.5	0.293193
2.216667	0.5	0.283233
2.225000	0.5	0.269170
2.233333	0.5	0.253350
2.241667	0.5	0.240654
2.250000	0.5	0.234014
2.258333	0.5	0.234014
2.266667	0.5	0.238701
2.275000	0.5	0.243584
2.283333	0.5	0.245342
2.291667	0.5	0.242998
2.300000	0.5	0.236357
2.308333	0.5	0.227959
2.316667	0.5	0.219365
2.325000	0.5	0.213311
2.333333	0.5	0.208623
2.341667	0.5	0.201787
2.350000	0.5	0.193584
2.358333	0.5	0.187529
2.366667	0.5	0.186748
2.375000	0.5	0.190850
2.383333	0.5	0.194756
2.391667	0.5	0.195342
2.400000	0.5	0.191240
2.408333	0.5	0.184990
2.416667	0.5	0.177959
2.425000	0.5	0.170732
2.433333	0.5	0.162920
2.441667	0.5	0.157647
2.450000	0.5	0.159990
2.458333	0.5	0.169756
2.466667	0.5	0.183428
2.475000	0.5	0.193584
2.483333	0.5	0.198662
2.491667	0.5	0.200811
2.500000	0.5	0.202959
2.508333	0.5	0.205303
2.516667	0.5	0.207256
