File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/766.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 7
Injection Number	8
Position	
Comment	$$ 2.1 vial 2:A,8 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	13:18:59
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.284787
Signal Max.	23.568928
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
0.000000	n.a.	0.000000
0.008333	0.5	0.000295
0.016667	0.5	0.000369
0.025000	0.5	0.001346
0.033333	0.5	0.001736
0.041667	0.5	0.001736
0.050000	0.5	-0.000412
0.058333	0.5	-0.003537
0.066667	0.5	-0.006662
0.075000	0.5	-0.006272
0.083333	0.5	-0.001975
0.091667	0.5	0.004275
0.100000	0.5	0.007010
0.108333	0.5	0.006228
0.116667	0.5	0.004861
0.125000	0.5	0.004861
0.133333	0.5	0.007010
0.141667	0.5	0.007791
0.150000	0.5	0.006424
0.158333	0.5	0.004666
0.166667	0.5	0.004275
0.175000	0.5	0.004275
0.183333	0.5	0.003299
0.191667	0.5	0.000174
0.200000	0.5	-0.002170
0.208333	0.5	-0.003342
0.216667	0.5	-0.001975
0.225000	0.5	0.000174
0.233333	0.5	0.000955
0.241667	0.5	-0.000803
0.250000	0.5	-0.003342
0.258333	0.5	-0.004904
0.266667	0.5	-0.003342
0.275000	0.5	0.000564
0.283333	0.5	0.005447
0.291667	0.5	0.008963
0.300000	0.5	0.010135
0.308333	0.5	0.009744
0.316667	0.5	0.008768
0.325000	0.5	0.008768
0.333333	0.5	0.010721
0.341667	0.5	0.013455
0.350000	0.5	0.015603
0.358333	0.5	0.015994
0.366667	0.5	0.015213
0.375000	0.5	0.014041
0.383333	0.5	0.012088
0.391667	0.5	0.009744
0.400000	0.5	0.008182
0.408333	0.5	0.008572
0.416667	0.5	0.009158
0.425000	0.5	0.008182
0.433333	0.5	0.002908
0.441667	0.5	-0.001584
0.450000	0.5	-0.003342
0.458333	0.5	-0.001779
0.466667	0.5	0.000564
0.475000	0.5	-0.000217
0.483333	0.5	-0.003537
0.491667	0.5	-0.008420
0.500000	0.5	-0.011545
0.508333	0.5	-0.013303
0.516667	0.5	-0.012326
0.525000	0.5	-0.008420
0.533333	0.5	-0.001779
0.541667	0.5	0.006424
0.550000	0.5	0.009939
0.558333	0.5	0.009549
