File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/320.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 1
Injection Number	2
Position	
Comment	$$ 2.1 vial 2:A,2 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	06:40:44
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.301133
Signal Max.	23.390665
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
0.000000	n.a.	0.000000
0.008333	0.5	-0.000477
0.016667	0.5	-0.001914
0.025000	0.5	-0.004258
0.033333	0.5	-0.007188
0.041667	0.5	-0.010313
0.050000	0.5	-0.013047
0.058333	0.5	-0.015000
0.066667	0.5	-0.017735
0.075000	0.5	-0.019688
0.083333	0.5	-0.020469
0.091667	0.5	-0.018711
0.100000	0.5	-0.015391
0.108333	0.5	-0.012266
0.116667	0.5	-0.011094
0.125000	0.5	-0.012071
0.133333	0.5	-0.013828
0.141667	0.5	-0.014610
0.150000	0.5	-0.011680
0.158333	0.5	-0.006211
0.166667	0.5	-0.002110
0.175000	0.5	-0.002696
0.183333	0.5	-0.006211
0.191667	0.5	-0.009141
0.200000	0.5	-0.007969
0.208333	0.5	-0.004649
0.216667	0.5	-0.002696
0.225000	0.5	-0.004453
0.233333	0.5	-0.010703
0.241667	0.5	-0.018907
0.250000	0.5	-0.025743
0.258333	0.5	-0.026914
0.266667	0.5	-0.022032
0.275000	0.5	-0.014219
0.283333	0.5	-0.008750
0.291667	0.5	-0.007383
0.300000	0.5	-0.010508
0.308333	0.5	-0.012461
