File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/302.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 5
Injection Number	6
Position	
Comment	$$ 2.1 vial 2:A,6 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	11:06:13
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.287774
Signal Max.	23.546406
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
0.000000	n.a.	0.000000
0.008333	0.5	0.000484
0.016667	0.5	0.002069
0.025000	0.5	0.006952
0.033333	0.5	0.012226
0.041667	0.5	0.017694
0.050000	0.5	0.022187
0.058333	0.5	0.022968
0.066667	0.5	0.019648
0.075000	0.5	0.013984
0.083333	0.5	0.008124
0.091667	0.5	0.005976
0.100000	0.5	0.008710
0.108333	0.5	0.012226
0.116667	0.5	0.012226
0.125000	0.5	0.008319
0.133333	0.5	0.002460
0.141667	0.5	0.000507
0.150000	0.5	0.003046
0.158333	0.5	0.005976
0.166667	0.5	0.004999
0.175000	0.5	-0.000079
0.183333	0.5	-0.004766
0.191667	0.5	-0.007501
0.200000	0.5	-0.008282
0.208333	0.5	-0.007110
0.216667	0.5	-0.006329
0.225000	0.5	-0.004376
0.233333	0.5	-0.001056
0.241667	0.5	0.002655
0.250000	0.5	0.005585
0.258333	0.5	0.002265
0.266667	0.5	-0.004571
0.275000	0.5	-0.012774
0.283333	0.5	-0.018438
0.291667	0.5	-0.021173
0.300000	0.5	-0.022735
0.308333	0.5	-0.023712
0.316667	0.5	-0.023321
0.325000	0.5	-0.019415
0.333333	0.5	-0.012774
0.341667	0.5	-0.008477
0.350000	0.5	-0.008087
0.358333	0.5	-0.010235
0.366667	0.5	-0.010431
0.375000	0.5	-0.008087
0.383333	0.5	-0.005938
0.391667	0.5	-0.007110
0.400000	0.5	-0.012774
0.408333	0.5	-0.020001
0.416667	0.5	-0.025079
0.425000	0.5	-0.026446
0.433333	0.5	-0.024298
0.441667	0.5	-0.019024
0.450000	0.5	-0.012970
0.458333	0.5	-0.009845
0.466667	0.5	-0.011407
0.475000	0.5	-0.017657
0.483333	0.5	-0.025665
0.491667	0.5	-0.030743
0.500000	0.5	-0.031720
0.508333	0.5	-0.029766
0.516667	0.5	-0.026056
0.525000	0.5	-0.022735
0.533333	0.5	-0.019610
0.541667	0.5	-0.018438
0.550000	0.5	-0.016876
0.558333	0.5	-0.013556
0.566667	0.5	-0.006720
0.575000	0.5	-0.001056
0.583333	0.5	0.000312
0.591667	0.5	-0.003985
0.600000	0.5	-0.009259
0.608333	0.5	-0.011212
0.616667	0.5	-0.008477
0.625000	0.5	-0.003790
0.633333	0.5	-0.000274
0.641667	0.5	0.001093
0.650000	0.5	-0.000274
0.658333	0.5	-0.002227
0.666667	0.5	-0.004181
0.675000	0.5	-0.004766
0.683333	0.5	-0.003790
0.691667	0.5	-0.002032
0.700000	0.5	0.004609
0.708333	0.5	0.028632
0.716667	0.5	0.096991
0.725000	0.5	0.246015
0.733333	0.5	0.504999
0.741667	0.5	0.881952
0.750000	0.5	1.371405
0.758333	0.5	1.943866
0.766667	0.5	2.537812
0.775000	0.5	3.051288
0.783333	0.5	3.372187
0.791667	0.5	3.430780
0.800000	0.5	3.238593
0.808333	0.5	2.874726
0.816667	0.5	2.442890
0.825000	0.5	2.082538
0.833333	0.5	2.011445
0.841667	0.5	2.385663
0.850000	0.5	3.127069
