File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/762.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 2
Injection Number	3
Position	
Comment	$$ 2.1 vial 2:A,3 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	07:47:06
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.293187
Signal Max.	23.654860
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
0.000000	n.a.	0.000000
0.008333	0.5	-0.000136
0.016667	0.5	0.001344
0.025000	0.5	0.006813
0.033333	0.5	0.015211
0.041667	0.5	0.025953
0.050000	0.5	0.036305
0.058333	0.5	0.042164
0.066667	0.5	0.042164
0.075000	0.5	0.038453
0.083333	0.5	0.035328
0.091667	0.5	0.036110
0.100000	0.5	0.038258
0.108333	0.5	0.037867
0.116667	0.5	0.032789
0.125000	0.5	0.025758
0.133333	0.5	0.020289
0.141667	0.5	0.018531
0.150000	0.5	0.019703
0.158333	0.5	0.021852
0.166667	0.5	0.022828
0.175000	0.5	0.022438
0.183333	0.5	0.020680
0.191667	0.5	0.020094
0.200000	0.5	0.020875
0.208333	0.5	0.021070
0.216667	0.5	0.021656
0.225000	0.5	0.021070
0.233333	0.5	0.019508
0.241667	0.5	0.016578
0.250000	0.5	0.013649
0.258333	0.5	0.013258
0.266667	0.5	0.017360
0.275000	0.5	0.024195
0.283333	0.5	0.028688
0.291667	0.5	0.029274
0.300000	0.5	0.027320
0.308333	0.5	0.027516
0.316667	0.5	0.030055
0.325000	0.5	0.032789
0.333333	0.5	0.034742
0.341667	0.5	0.033961
0.350000	0.5	0.032985
0.358333	0.5	0.031813
0.366667	0.5	0.032399
0.375000	0.5	0.035719
0.383333	0.5	0.040797
0.391667	0.5	0.046461
0.400000	0.5	0.048219
0.408333	0.5	0.044703
0.416667	0.5	0.036891
0.425000	0.5	0.026149
0.433333	0.5	0.014820
0.441667	0.5	0.006422
0.450000	0.5	0.004078
0.458333	0.5	0.009547
0.466667	0.5	0.018141
0.475000	0.5	0.025367
0.483333	0.5	0.027711
0.491667	0.5	0.026344
0.500000	0.5	0.024195
0.508333	0.5	0.024000
0.516667	0.5	0.024977
0.525000	0.5	0.027320
0.533333	0.5	0.030836
0.541667	0.5	0.035719
0.550000	0.5	0.039430
0.558333	0.5	0.040406
0.566667	0.5	0.037867
0.575000	0.5	0.034156
0.583333	0.5	0.030836
0.591667	0.5	0.029274
0.600000	0.5	0.028492
0.608333	0.5	0.027906
0.616667	0.5	0.028883
0.625000	0.5	0.030641
0.633333	0.5	0.032399
0.641667	0.5	0.033766
0.650000	0.5	0.032789
0.658333	0.5	0.029860
0.666667	0.5	0.024977
0.675000	0.5	0.019508
0.683333	0.5	0.014430
0.691667	0.5	0.011891
0.700000	0.5	0.016774
0.708333	0.5	0.039430
0.716667	0.5	0.102516
0.725000	0.5	0.232399
0.733333	0.5	0.449977
0.741667	0.5	0.766188
0.750000	0.5	1.180641
0.758333	0.5	1.672828
0.766667	0.5	2.185914
0.775000	0.5	2.625563
0.783333	0.5	2.894703
0.791667	0.5	2.940992
0.800000	0.5	2.781227
0.808333	0.5	2.485328
0.816667	0.5	2.135524
0.825000	0.5	1.858766
0.833333	0.5	1.842164
0.841667	0.5	2.219313
0.850000	0.5	2.901344
0.858333	0.5	3.543922
0.866667	0.5	3.829859
0.875000	0.5	3.677711
0.883333	0.5	3.295289
0.891667	0.5	2.968727
0.900000	0.5	2.792164
0.908333	0.5	2.707594
0.916667	0.5	2.603688
0.925000	0.5	2.445094
0.933333	0.5	2.246852
0.941667	0.5	2.056617
0.950000	0.5	1.920289
0.958333	0.5	1.864235
0.966667	0.5	1.895094
0.975000	0.5	2.016774
0.983333	0.5	2.496070
0.991667	0.5	4.857203
1.000000	0.5	10.001345
1.008333	0.5	17.269508
1.016667	0.5	22.926149
1.025000	0.5	23.654860
1.033333	0.5	19.075758
1.041667	0.5	12.006227
1.050000	0.5	6.423610
1.058333	0.5	3.502125
1.066667	0.5	2.676149
1.075000	0.5	2.484742
1.083333	0.5	2.567359
1.091667	0.5	2.901539
1.100000	0.5	3.371852
1.108333	0.5	3.769117
1.116667	0.5	3.905836
1.125000	0.5	3.719117
1.133333	0.5	3.295485
1.141667	0.5	2.802320
1.150000	0.5	2.392359
1.158333	0.5	2.137281
1.166667	0.5	2.028492
1.175000	0.5	2.012477
1.183333	0.5	2.033571
1.191667	0.5	2.059352
1.200000	0.5	2.075367
1.208333	0.5	2.078297
1.216667	0.5	2.064821
